#*******Incoming Task Paths*********,,,,,,
#2014-08-01 - 2014-08-31,,,,,,
Rank,Sessions,Total Sessions,% of Total Sessions,Paths,% of Total Paths,Path
1,347,1038,0.334296724,612,0.436830835,V->V
2,148,1038,0.142581888,157,0.112062812,L->S->H->I->Y->G->R
3,79,1038,0.0761079,82,0.058529622,N->R->I->B->J->P
4,71,1038,0.068400771,81,0.057815846,Z->D->D->H->O->T->N->D->F
5,70,1038,0.06743738,71,0.050678087,Y->E
6,51,1038,0.049132948,66,0.047109208,L->X->A->P->R
7,46,1038,0.044315992,52,0.037116345,G->C->V->D->Q
8,25,1038,0.024084778,41,0.029264811,M->G->N->P->I
9,24,1038,0.023121387,37,0.026409707,T->W->Q->D->M->Q
10,22,1038,0.021194605,35,0.024982156,A->J
11,21,1038,0.020231214,26,0.018558173,I->T->N->R->F->Q->I->Q
12,20,1038,0.019267823,22,0.015703069,K->Q
13,17,1038,0.016377649,19,0.013561742,J->G->V->L
14,17,1038,0.016377649,18,0.012847966,Z->K->V->L->F->L
15,16,1038,0.015414258,17,0.01213419,U->X->E->K->C->H
16,14,1038,0.013487476,15,0.010706638,S->C->T->G->W->U
17,14,1038,0.013487476,14,0.009992862,U->R->G->V->W->F
18,13,1038,0.012524085,13,0.009279086,F->U->H->Q->C->Z->U->G->K->V
19,12,1038,0.011560694,12,0.00856531,I->O->K->L->D->X->V->M
20,11,1038,0.010597303,11,0.007851535,V->G->I->V
