Location,Date,Time,SO2,CO,O3,NO2,PM10
2,2014-01-01,00:00:00,0.011,0.7,0.012,0.024,208.0
2,2014-01-01,01:00:00,0.011,0.6,0.016,0.019,192.0
2,2014-01-01,02:00:00,0.01,0.6,0.018,0.017,174.0
2,2014-01-01,03:00:00,0.01,0.7,0.009,0.025,167.0
2,2014-01-01,04:00:00,0.009,0.5,0.016,0.019,156.0
2,2014-01-01,05:00:00,0.007,0.4,0.017,0.018,140.0
2,2014-01-01,06:00:00,0.008,0.2,0.023,0.013,124.0
2,2014-01-01,07:00:00,0.007,0.2,0.017,0.019,115.0
2,2014-01-01,08:00:00,0.008,0.3,0.018,0.017,114.0
2,2014-01-01,09:00:00,0.006,0.4,0.022,0.015,102.0
2,2014-01-01,10:00:00,0.007,0.4,0.024,0.013,97.0
2,2014-01-01,11:00:00,0.008,0.3,0.031,0.009,120.0
2,2014-01-01,12:00:00,0.009,0.3,0.031,0.009,115.0
2,2014-01-01,13:00:00,0.01,0.3,0.03,0.01,114.0
2,2014-01-01,14:00:00,0.011,0.3,0.032,0.01,123.0
2,2014-01-01,15:00:00,0.01,0.3,0.034,0.011,136.0
2,2014-01-01,16:00:00,0.008,0.4,0.033,0.012,147.0
2,2014-01-01,17:00:00,0.006,0.5,0.029,0.015,136.0
2,2014-01-01,18:00:00,0.005,0.5,0.028,0.015,128.0
2,2014-01-01,19:00:00,0.005,0.5,0.027,0.015,121.0
2,2014-01-01,20:00:00,0.01,0.5,0.023,0.017,142.0
2,2014-01-01,21:00:00,0.012,0.5,0.018,0.02,152.0
2,2014-01-01,22:00:00,0.012,0.6,0.015,0.022,149.0
2,2014-01-01,23:00:00,0.011,0.6,0.015,0.02,158.0
2,2014-01-02,00:00:00,0.011,0.5,0.021,0.013,127.0
2,2014-01-02,01:00:00,0.01,0.5,0.022,0.011,94.0
2,2014-01-02,02:00:00,0.008,0.4,0.022,0.01,88.0
2,2014-01-02,03:00:00,0.009,0.4,0.019,0.012,75.0
2,2014-01-02,04:00:00,0.008,0.4,0.023,0.009,77.0
2,2014-01-02,05:00:00,0.008,0.4,0.021,0.009,68.0
2,2014-01-02,06:00:00,0.009,0.4,0.016,0.014,62.0
2,2014-01-02,07:00:00,0.008,0.4,0.004,0.026,60.0
2,2014-01-02,08:00:00,0.009,0.6,0.003,0.031,60.0
2,2014-01-02,09:00:00,0.01,0.5,0.006,0.027,57.0
2,2014-01-02,10:00:00,0.008,0.4,0.013,0.021,48.0
2,2014-01-02,11:00:00,0.006,0.2,0.022,0.014,38.0
2,2014-01-02,12:00:00,0.006,0.4,0.019,0.02,41.0
2,2014-01-02,13:00:00,0.005,0.3,0.021,0.017,49.0
2,2014-01-02,14:00:00,0.006,0.3,0.019,0.021,40.0
