Location,Date,Time,SO2,CO,O3,NO2,PM10
5,1/1/2014,0,0.018,0.9,0.012,0.031,137
5,1/1/2014,1,0.016,1.0,0.010,0.036,127
5,1/1/2014,2,0.011,1.1,0.005,0.044,124
5,1/1/2014,3,0.012,1.0,0.006,0.040,110
5,1/1/2014,4,0.011,1.0,0.005,0.044,106
5,1/1/2014,5,0.012,0.8,0.006,0.043,102
5,1/1/2014,6,0.009,0.6,0.007,0.041,81
5,1/1/2014,7,0.009,0.6,0.004,0.045,78
5,1/1/2014,8,0.009,0.7,0.007,0.042,80
5,1/1/2014,9,0.010,0.6,0.018,0.024,79
5,1/1/2014,10,0.011,0.6,0.020,0.021,93
5,1/1/2014,11,0.011,0.5,0.024,0.017,85
5,1/1/2014,12,0.010,0.5,0.024,0.017,79
5,1/1/2014,13,0.011,0.5,0.024,0.018,74
5,1/1/2014,14,0.012,0.5,0.025,0.019,75
5,1/1/2014,15,0.012,0.5,0.026,0.022,93
5,1/1/2014,16,0.010,0.5,0.025,0.024,99
5,1/1/2014,17,0.009,0.6,0.020,0.030,97
5,1/1/2014,18,0.009,0.6,0.017,0.035,96
5,1/1/2014,19,0.012,0.6,0.018,0.033,98
5,1/1/2014,20,0.012,0.6,0.020,0.028,105
5,1/1/2014,21,0.015,0.7,0.016,0.031,108
5,1/1/2014,22,0.012,0.7,0.016,0.029,103
5,1/1/2014,23,0.012,0.8,0.014,0.027,102
5,1/2/2014,0,0.011,0.8,0.019,0.018,79
5,1/2/2014,1,0.009,0.7,0.020,0.016,64
5,1/2/2014,2,0.008,0.7,0.016,0.020,58
5,1/2/2014,3,0.009,0.7,0.018,0.017,58
5,1/2/2014,4,0.009,0.6,0.016,0.019,54
5,1/2/2014,5,0.009,0.6,0.010,0.028,51
5,1/2/2014,6,0.008,0.6,0.010,0.027,49
5,1/2/2014,7,0.009,1.3,0.003,0.039,55
5,1/2/2014,8,0.009,1.1,0.004,0.044,66
5,1/2/2014,9,0.010,0.8,0.005,0.041,72
5,1/2/2014,10,0.009,0.6,0.012,0.029,54
5,1/2/2014,11,0.008,0.5,0.020,0.022,36
5,1/2/2014,12,0.007,0.4,0.022,0.020,33
5,1/2/2014,13,0.008,0.4,0.022,0.022,25
5,1/2/2014,14,0.010,0.5,0.021,0.025,38
5,1/2/2014,15,0.011,0.4,0.023,0.021,30
5,1/2/2014,16,0.010,0.4,0.018,0.029,29
5,1/2/2014,17,0.010,0.5,0.006,0.044,48
5,1/2/2014,18,0.010,0.7,0.003,0.051,52
5,1/2/2014,19,0.010,0.7,0.003,0.054,53
5,1/2/2014,20,0.011,1.0,0.003,0.061,42
5,1/2/2014,21,0.009,1.0,0.003,0.059,54
5,1/2/2014,22,0.010,0.8,0.003,0.058,46
5,1/2/2014,23,0.011,1.0,0.003,0.061,52
5,1/3/2014,0,0.009,1.2,0.003,0.060,56
5,1/3/2014,1,0.009,1.2,0.003,0.057,64
